OBJECTID,src_FID,nbr_FID,LENGTH,NODE_COUNT
1,0,904,0.01103879218,0
2,0,1074,0.00231713609,0
3,0,1369,0.00045360543,0
4,0,1984,0.00910517866,0
5,0,1988,0.00230104372,0
6,1,559,0.00000000000,1
7,1,640,0.00499735234,0
8,1,1505,0.00387911254,0
9,1,1506,0.00500459956,0
10,1,1826,0.00388507141,0
11,1,2146,0.00000000000,1
12,2,3,0.00542431844,0
13,2,1018,0.00348999976,0
14,2,1019,0.00000000000,1
15,2,1020,0.00000000000,1
16,2,1021,0.00348909553,0
17,2,1505,0.00542210395,0
18,2,2124,0.00000000000,1
19,2,2146,0.00000000000,1
20,3,2,0.00542431844,0
21,3,481,0.00077859326,0
22,3,603,0.00309246679,0
23,3,1018,0.00000000000,1
24,3,1019,0.00350520101,0
25,3,1020,0.00350008212,0
26,3,1021,0.00000000000,1
27,3,1159,0.00154816623,0
28,4,480,0.00615659704,0
29,4,845,0.00311808289,0
30,4,952,0.00000000000,1
31,4,1019,0.00000000000,1
32,4,1022,0.00616805459,0
33,4,1812,0.00312646545,0
34,4,1813,0.00000000000,1
35,5,6,0.00000000000,1
36,5,518,0.00000000000,1
37,5,866,0.00348494745,0
38,5,1068,0.00348435230,0
39,5,1878,0.00560661629,0
40,5,2150,0.00560794984,0
41,6,5,0.00000000000,1
42,6,544,0.00000000000,1
43,6,781,0.00398601049,0
44,6,866,0.00561713192,0
45,6,1878,0.00349533792,0
46,6,1879,0.00163147340,0
47,6,2072,0.00000000000,1
48,6,2164,0.00349359565,0
49,7,8,0.00326325067,0
50,7,634,0.00349317412,0
51,7,708,0.00000000000,1
52,7,1066,0.00226873011,0
53,7,1082,0.00000000000,1
54,7,1347,0.00000000000,1
55,7,1356,0.00351190329,0
56,7,1629,0.00554785975,0
57,8,7,0.00326325067,0
58,8,947,0.00077422757,0
59,8,1066,0.00349276379,0
60,8,1249,0.00247457094,0
61,8,1347,0.00349648057,0
62,8,1356,0.00000000000,1
63,9,570,0.00466673645,0
64,9,708,0.00000000000,1
65,9,1153,0.00000000000,1
66,9,1242,0.00465709463,0
67,9,1347,0.00000000000,1
68,9,1356,0.00350192869,0
69,9,1830,0.00348554688,0
70,10,1259,0.00318583208,0
71,10,1260,0.00152321713,0
72,10,1507,0.00180060216,0
73,10,2094,0.00528428587,0
74,11,14,0.00308482676,0
75,11,1262,0.00549580902,0
76,11,1665,0.00308778073,0
77,11,1816,0.00496403738,0
78,11,1972,0.00000000000,1
79,11,2084,0.00077215267,0
80,11,2094,0.00130576422,0
81,12,29,0.00530714937,0
82,12,30,0.00000000000,1
83,12,31,0.00314812263,0
84,12,32,0.00000000000,1
85,12,560,0.00531437571,0
86,12,1087,0.00155925706,0
87,12,2081,0.00157506773,0
88,13,482,0.00608634791,0
89,13,1012,0.00199627772,0
90,13,1064,0.00440049304,0
91,13,1158,0.00313187551,0
92,13,1649,0.00322831568,0
93,13,2094,0.00692552449,0
94,13,2139,0.00000000000,1
95,14,11,0.00308482676,0
96,14,1474,0.00146769911,0
97,14,1816,0.00000000000,1
98,14,2084,0.00422409747,0
99,14,2094,0.00935642911,0
100,15,1303,0.00478250146,0
101,15,1337,0.00564356756,0
102,15,1338,0.00166272663,0
103,15,1542,0.00235097265,0
104,16,17,0.00591024789,0
105,16,1233,0.00147083106,0
106,16,1234,0.00146777258,0
107,16,1345,0.00592193533,0
108,16,1367,0.00500928901,0
109,16,1465,0.00000000000,1
110,17,16,0.00591024789,0
111,17,825,0.00000000000,1
112,17,826,0.00554642730,0
113,17,1204,0.00226707023,0
114,17,1233,0.00073870340,0
115,17,1367,0.00320483342,0
116,18,621,0.00382593494,0
117,18,1666,0.00000000000,1
118,18,1667,0.00534970665,0
119,18,1676,0.00263161366,0
120,18,2161,0.00113497528,0
121,18,2162,0.00480227476,0
122,19,23,0.00326464995,0
123,19,108,0.00000000000,1
124,19,1341,0.00478290900,0
125,19,1362,0.00326279174,0
126,19,1363,0.00210561513,0
127,19,1365,0.00263809698,0
128,20,21,0.00323282744,0
129,20,108,0.00000000000,1
130,20,474,0.00000000000,1
131,20,1341,0.00478164705,0
132,20,1360,0.00323050578,0
133,20,1683,0.00479734602,0
134,21,20,0.00323282744,0
135,21,25,0.00323506865,0
136,21,108,0.00514632091,0
137,21,473,0.00000000000,1
138,21,474,0.00514686884,0
139,21,673,0.00000000000,1
140,21,1341,0.00000000000,1
141,21,1683,0.00000000000,1
142,22,674,0.00727410037,0
143,22,1179,0.00478989208,0
144,22,1706,0.00478091522,0
145,22,1967,0.00727395061,0
146,23,19,0.00326464995,0
147,23,24,0.00326173018,0
148,23,108,0.00514640390,0
149,23,673,0.00000000000,1
150,23,894,0.00257227463,0
151,23,1341,0.00000000000,1
152,23,1365,0.00257568381,0
153,24,23,0.00326173018,0
154,24,108,0.00000000000,1
155,24,673,0.00514564544,0
156,24,831,0.00326359163,0
157,24,894,0.00514374147,0
158,25,21,0.00323506865,0
159,25,27,0.00323159682,0
160,25,108,0.00000000000,1
161,25,473,0.00514690644,0
162,25,474,0.00000000000,1
163,25,673,0.00514648230,0
164,25,831,0.00000000000,1
165,26,620,0.00506796958,0
166,26,674,0.00569427954,0
167,26,816,0.00172357770,0
168,26,819,0.00172581199,0
169,26,834,0.00323849218,0
170,26,835,0.00000000000,1
171,27,25,0.00323159682,0
172,27,45,0.00344763111,0
173,27,46,0.00172207105,0
174,27,473,0.00161655336,0
175,27,620,0.00428300795,0
176,27,673,0.00000000000,1
177,27,831,0.00334735198,0
178,27,833,0.00000000000,1
179,28,43,0.00000000000,1
180,28,1359,0.00600964947,0
181,28,1366,0.00236780228,0
182,28,1439,0.00455820832,0
183,28,1698,0.00000000000,1
184,28,1745,0.00000000000,1
185,28,1746,0.00257164037,0
186,29,12,0.00530714937,0
187,29,30,0.00312723327,0
188,29,31,0.00000000000,1
189,29,592,0.00530963176,0
190,29,593,0.00000000000,1
191,29,1087,0.00157468039,0
192,29,1091,0.00156558266,0
193,30,12,0.00000000000,1
194,30,29,0.00312723327,0
195,30,31,0.00524074658,0
196,30,592,0.00000000000,1
197,30,593,0.00524526771,0
198,30,1185,0.00312660653,0
199,31,12,0.00314812263,0
200,31,29,0.00000000000,1
201,31,30,0.00524074658,0
202,31,32,0.00524136075,0
203,31,560,0.00000000000,1
204,31,1185,0.00236362017,0
205,31,1716,0.00078590419,0
206,32,12,0.00000000000,1
207,32,31,0.00524136075,0
208,32,560,0.00313773751,0
209,32,1694,0.00000000000,1
210,32,1716,0.00313768137,0
211,32,1717,0.00524327366,0
212,33,657,0.00167585814,0
213,33,1732,0.00257023316,0
214,33,1790,0.00886514700,0
215,33,1841,0.00907121716,0
216,33,1927,0.00090552929,0
217,34,35,0.00529101903,0
218,34,41,0.00334976194,0
219,34,914,0.00227632611,0
220,34,1425,0.00255293354,0
221,34,1733,0.00514462405,0
222,34,1758,0.00000000000,1
223,35,34,0.00529101903,0
224,35,37,0.00355905785,0
225,35,39,0.00403144395,0
226,35,41,0.00080820237,0
227,35,1425,0.00000000000,1
228,35,1757,0.00214357401,0
229,35,1758,0.00438100405,0
230,36,37,0.00616127816,0
231,36,43,0.00080843608,0
232,36,44,0.00329130421,0
233,36,51,0.00145442719,0
234,36,52,0.00249916175,0
235,36,832,0.00257172586,0
236,36,1757,0.00160250257,0
237,37,35,0.00355905785,0
238,37,36,0.00616127816,0
239,37,39,0.00514380812,0
240,37,43,0.00254560221,0
241,37,1746,0.00080740941,0
242,37,1757,0.00167683179,0
243,38,40,0.00393483869,0
244,38,666,0.00373820910,0
245,38,668,0.00102138306,0
246,38,780,0.00292144076,0
247,38,804,0.00372059290,0
248,39,35,0.00403144395,0
249,39,37,0.00514380812,0
250,39,41,0.00257143830,0
251,39,483,0.00257336250,0
252,39,484,0.00000000000,1
253,39,1745,0.00241942349,0
254,39,1746,0.00161353862,0
255,40,38,0.00393483869,0
256,40,641,0.00328144550,0
257,40,666,0.00102864939,0
258,40,714,0.00000000000,1
259,40,804,0.00349219344,0
260,40,861,0.00399045436,0
261,40,862,0.00299846029,0
262,40,1200,0.00149346179,0
263,41,34,0.00334976194,0
264,41,35,0.00080820237,0
265,41,39,0.00257143830,0
266,41,483,0.00577265795,0
267,41,657,0.00257197470,0
268,41,827,0.00000000000,1
269,41,1733,0.00161559599,0
270,42,484,0.00577282710,0
271,42,1456,0.00257334453,0
272,42,1745,0.00257342206,0
273,42,2060,0.00000000000,1
274,42,2062,0.00577273107,0
275,43,28,0.00000000000,1
276,43,36,0.00080843608,0
277,43,37,0.00254560221,0
278,43,44,0.00595038853,0
279,43,894,0.00000000000,1
280,43,1359,0.00358752558,0
281,43,1746,0.00659847448,0
282,44,36,0.00329130421,0
283,44,43,0.00595038853,0
284,44,831,0.00175536956,0
285,44,832,0.00531054226,0
286,44,894,0.00175308139,0
287,44,1359,0.00000000000,1
288,45,27,0.00344763111,0
289,45,46,0.00631525607,0
290,45,49,0.00242160882,0
291,45,50,0.00000000000,1
292,45,830,0.00080444636,0
293,45,831,0.00000000000,1
294,45,833,0.00694082102,0
295,46,27,0.00172207105,0
296,46,45,0.00631525607,0
297,46,620,0.00172560051,0
298,46,816,0.00569275979,0
